"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 25 15:37:01 GMT 2024","Tue Jun 25 15:37:09 GMT 2024","8534","tests","test_auth","","","","test_auth_positive",""
"passed","Tue Jun 25 15:37:27 GMT 2024","Tue Jun 25 15:37:38 GMT 2024","10301","tests","test_selenium_waits","","","","test_register_with_time_sleep","Using time.sleep()"
"passed","Tue Jun 25 15:37:19 GMT 2024","Tue Jun 25 15:37:27 GMT 2024","8435","tests","test_selenium_waits","","","","test_register_with_implicit_waits","Using Implicit waits"
"broken","Tue Jun 25 15:37:09 GMT 2024","Tue Jun 25 15:37:10 GMT 2024","189","tests","test_auth_with_selene","","","","Test Authentication","This test attempts to log into the website using a login and a password. Fails if any error happens.

Note that this test does not test 2-Factor Authentication."
"passed","Tue Jun 25 15:37:10 GMT 2024","Tue Jun 25 15:37:19 GMT 2024","8470","tests","test_selenium_waits","","","","test_register_with_explicit_waits","Using Explicit waits and Expected Conditions"
