"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jun 25 16:07:01 GMT 2024","Tue Jun 25 16:07:02 GMT 2024","613","tests","test_auth_with_selene","","","","Test Authentication","This test attempts to log into the website using a login and a password. Fails if any error happens.

Note that this test does not test 2-Factor Authentication."
"passed","Tue Jun 25 16:07:11 GMT 2024","Tue Jun 25 16:07:19 GMT 2024","8364","tests","test_selenium_waits","","","","test_register_with_implicit_waits","Using Implicit waits"
"passed","Tue Jun 25 16:06:52 GMT 2024","Tue Jun 25 16:07:01 GMT 2024","8679","tests","test_auth","","","","test_auth_positive",""
"passed","Tue Jun 25 16:07:02 GMT 2024","Tue Jun 25 16:07:11 GMT 2024","8521","tests","test_selenium_waits","","","","test_register_with_explicit_waits","Using Explicit waits and Expected Conditions"
"passed","Tue Jun 25 16:07:20 GMT 2024","Tue Jun 25 16:07:30 GMT 2024","10342","tests","test_selenium_waits","","","","test_register_with_time_sleep","Using time.sleep()"
