"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 26 14:55:02 GMT 2024","Wed Jun 26 14:55:10 GMT 2024","8753","tests","test_selenium_waits","","","","test_register_with_implicit_waits","Using Implicit waits"
"passed","Wed Jun 26 14:54:13 GMT 2024","Wed Jun 26 14:54:24 GMT 2024","11556","tests","test_auth","","","","test_auth_positive",""
"passed","Wed Jun 26 14:55:18 GMT 2024","Wed Jun 26 14:55:29 GMT 2024","10748","tests","test_selenium_waits","","","","test_register_with_time_sleep","Using time.sleep()"
"passed","Wed Jun 26 14:54:45 GMT 2024","Wed Jun 26 14:54:54 GMT 2024","9436","tests","test_selenium_waits","","","","test_register_with_explicit_waits","Using Explicit waits and Expected Conditions"
"passed","Wed Jun 26 14:54:31 GMT 2024","Wed Jun 26 14:54:41 GMT 2024","10569","tests","test_auth_with_selene","","","","Test Authentication","This test attempts to log into the website using a login and a password. Fails if any error happens.

Note that this test does not test 2-Factor Authentication."
