"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 26 15:13:09 GMT 2024","Wed Jun 26 15:13:18 GMT 2024","8741","tests","test_auth","","","","test_auth_positive",""
"passed","Wed Jun 26 15:13:36 GMT 2024","Wed Jun 26 15:13:47 GMT 2024","10348","tests","test_selenium_waits","","","","test_register_with_time_sleep","Using time.sleep()"
"passed","Wed Jun 26 15:13:19 GMT 2024","Wed Jun 26 15:13:27 GMT 2024","8511","tests","test_selenium_waits","","","","test_register_with_explicit_waits","Using Explicit waits and Expected Conditions"
"broken","Wed Jun 26 15:13:18 GMT 2024","Wed Jun 26 15:13:18 GMT 2024","186","tests","test_auth_with_selene","","","","Test Authentication","This test attempts to log into the website using a login and a password. Fails if any error happens.

Note that this test does not test 2-Factor Authentication."
"passed","Wed Jun 26 15:13:28 GMT 2024","Wed Jun 26 15:13:36 GMT 2024","8461","tests","test_selenium_waits","","","","test_register_with_implicit_waits","Using Implicit waits"
