"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 01 17:31:05 GMT 2024","Mon Jul 01 17:31:14 GMT 2024","8746","tests","test_auth","","","","test_auth_positive",""
"passed","Mon Jul 01 17:31:40 GMT 2024","Mon Jul 01 17:31:51 GMT 2024","10501","tests","test_selenium_waits","","","","test_register_with_time_sleep","Using time.sleep()"
"passed","Mon Jul 01 17:31:14 GMT 2024","Mon Jul 01 17:31:22 GMT 2024","8413","tests","test_auth_with_selene","","","","Test Authentication","This test attempts to log into the website using a login and a password. Fails if any error happens.

Note that this test does not test 2-Factor Authentication."
"passed","Mon Jul 01 17:31:23 GMT 2024","Mon Jul 01 17:31:31 GMT 2024","8507","tests","test_selenium_waits","","","","test_register_with_explicit_waits","Using Explicit waits and Expected Conditions"
"passed","Mon Jul 01 17:31:31 GMT 2024","Mon Jul 01 17:31:40 GMT 2024","8334","tests","test_selenium_waits","","","","test_register_with_implicit_waits","Using Implicit waits"
