"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jun 25 13:58:59 GMT 2024","Tue Jun 25 13:58:59 GMT 2024","0","tests","test_selenium_waits","","","","test_register_with_explicit_waits","Using Explicit waits and Expected Conditions"
"broken","Tue Jun 25 13:59:00 GMT 2024","Tue Jun 25 13:59:00 GMT 2024","0","tests","test_selenium_waits","","","","test_register_with_time_sleep","Using time.sleep()"
"broken","Tue Jun 25 13:58:57 GMT 2024","Tue Jun 25 13:58:57 GMT 2024","0","tests","test_auth","","","","test_auth_positive",""
"broken","Tue Jun 25 13:59:00 GMT 2024","Tue Jun 25 13:59:00 GMT 2024","0","tests","test_selenium_waits","","","","test_register_with_implicit_waits","Using Implicit waits"
"broken","Tue Jun 25 13:58:59 GMT 2024","Tue Jun 25 13:58:59 GMT 2024","187","tests","test_auth_with_selene","","","","Test Authentication","This test attempts to log into the website using a login and a password. Fails if any error happens.

Note that this test does not test 2-Factor Authentication."
