"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 25 15:43:58 GMT 2024","Tue Jun 25 15:44:06 GMT 2024","8374","tests","test_selenium_waits","","","","test_register_with_implicit_waits","Using Implicit waits"
"passed","Tue Jun 25 15:43:39 GMT 2024","Tue Jun 25 15:43:48 GMT 2024","9476","tests","test_auth","","","","test_auth_positive",""
"passed","Tue Jun 25 15:43:49 GMT 2024","Tue Jun 25 15:43:58 GMT 2024","8484","tests","test_selenium_waits","","","","test_register_with_explicit_waits","Using Explicit waits and Expected Conditions"
"passed","Tue Jun 25 15:44:06 GMT 2024","Tue Jun 25 15:44:17 GMT 2024","10329","tests","test_selenium_waits","","","","test_register_with_time_sleep","Using time.sleep()"
"broken","Tue Jun 25 15:43:48 GMT 2024","Tue Jun 25 15:43:49 GMT 2024","290","tests","test_auth_with_selene","","","","Test Authentication","This test attempts to log into the website using a login and a password. Fails if any error happens.

Note that this test does not test 2-Factor Authentication."
