"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 26 15:37:55 GMT 2024","Wed Jun 26 15:38:05 GMT 2024","10455","tests","test_auth","","","","test_auth_positive",""
"passed","Wed Jun 26 15:38:24 GMT 2024","Wed Jun 26 15:38:34 GMT 2024","10313","tests","test_selenium_waits","","","","test_register_with_time_sleep","Using time.sleep()"
"passed","Wed Jun 26 15:38:15 GMT 2024","Wed Jun 26 15:38:23 GMT 2024","8367","tests","test_selenium_waits","","","","test_register_with_implicit_waits","Using Implicit waits"
"broken","Wed Jun 26 15:38:05 GMT 2024","Wed Jun 26 15:38:06 GMT 2024","508","tests","test_auth_with_selene","","","","Test Authentication","This test attempts to log into the website using a login and a password. Fails if any error happens.

Note that this test does not test 2-Factor Authentication."
"passed","Wed Jun 26 15:38:06 GMT 2024","Wed Jun 26 15:38:15 GMT 2024","8498","tests","test_selenium_waits","","","","test_register_with_explicit_waits","Using Explicit waits and Expected Conditions"
