"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 25 14:57:37 GMT 2024","Tue Jun 25 14:57:46 GMT 2024","9740","tests","test_auth","","","","test_auth_positive",""
"passed","Tue Jun 25 14:58:05 GMT 2024","Tue Jun 25 14:58:15 GMT 2024","10355","tests","test_selenium_waits","","","","test_register_with_time_sleep","Using time.sleep()"
"passed","Tue Jun 25 14:57:56 GMT 2024","Tue Jun 25 14:58:05 GMT 2024","8467","tests","test_selenium_waits","","","","test_register_with_implicit_waits","Using Implicit waits"
"passed","Tue Jun 25 14:57:47 GMT 2024","Tue Jun 25 14:57:56 GMT 2024","8518","tests","test_selenium_waits","","","","test_register_with_explicit_waits","Using Explicit waits and Expected Conditions"
"broken","Tue Jun 25 14:57:46 GMT 2024","Tue Jun 25 14:57:47 GMT 2024","399","tests","test_auth_with_selene","","","","Test Authentication","This test attempts to log into the website using a login and a password. Fails if any error happens.

Note that this test does not test 2-Factor Authentication."
