"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 06 17:34:41 GMT 2024","Sat Jul 06 17:34:49 GMT 2024","8674","tests","test_auth","","","","test_auth_positive",""
"passed","Sat Jul 06 17:34:58 GMT 2024","Sat Jul 06 17:35:07 GMT 2024","8469","tests","test_selenium_waits","","","","test_register_with_explicit_waits","Using Explicit waits and Expected Conditions"
"passed","Sat Jul 06 17:34:50 GMT 2024","Sat Jul 06 17:34:58 GMT 2024","8403","tests","test_auth_with_selene","","","","Test Authentication","This test attempts to log into the website using a login and a password. Fails if any error happens.

Note that this test does not test 2-Factor Authentication."
"passed","Sat Jul 06 17:35:07 GMT 2024","Sat Jul 06 17:35:15 GMT 2024","8317","tests","test_selenium_waits","","","","test_register_with_implicit_waits","Using Implicit waits"
"passed","Sat Jul 06 17:35:16 GMT 2024","Sat Jul 06 17:35:26 GMT 2024","10382","tests","test_selenium_waits","","","","test_register_with_time_sleep","Using time.sleep()"
